"anonym_id","general_feeling","general_feeling_cause"
1029,0,"I selected “neutral” because my overall feelings about my life as a researcher oscillate between extremely positive and extremely negative periods. On the positive side, I genuinely enjoy my work: I find research intellectually stimulating and meaningful, I appreciate several of my colleagues, and I value my relationship with students, which I find motivating and rewarding. On the negative side, I experience significant frustration due to administrative burdens and the difficulty of securing funding for my research. There is also considerable stress associated with not always being able to implement projects as planned, and the presence of certain toxic individuals within my institution negatively affects my overall experience."
1030,2,"It makes me proud to be able to work in science. It's a privilege."
1031,3,"I was an early innovator and received recognition by my peers for my work"
1032,-1,"Not enough time."
1033,-2,"Uncertainty"
1034,1,"being a researcher gives me a lot of freedom to work on a topic I am genuinely interested in. the financial aspects, securing grant money in a highly competitive field, make my feelings more negative, from +2 to +1"
1035,3,"Freedom to persue my ideas, good funding, exccellent working conditions and nice collegues."
1036,2,"There is no routine (in the sense of boring) work; most days there are new challenges to solve."
1037,2,"I have job security and a manager that supports me. "
1038,2,"Morivation and the importance of work. Mentoring students, seeing them grow"
1039,0,"It is nice to work on novel things. Life as an healthcare research provides me with a lot of flexibility which in an engineering company I would not necessarily have. I sometimes miss adding any practical value and despise how long everything takes. Pursuing an career in research within academia I do not find attractive because it is also a life with a lot of uncertainties (financially, where you are positioned, durations of contracts)."
1040,2,"Recogniztion in scientific world"
1041,2,"making new discoveries is great, the paper work is not"
1042,1,""
1043,2,"Enjoy attention "
1044,-1,"Having to depend on the actions of other people. I really like investigating, but there is much lost time during different processes (review, journal response, participants disponibility)"
1045,3,"creating something new and change medicine"
1046,1,"Burnout. I love my work, but I have been going in multiple directions for months now and it shows no sign of stopping go at least 6mo"
1047,3,"I think the work I do is important and contributes to the benefit of all mankind, both by expanding what we know about the human body, and applying that knowledge to improve human health. I have also had the pleasure of training others as biomedical researchers, and insuring that the work goes on"
1048,3,"My ability to collect the needed data"
1049,-1,"A controlling boss"
1050,1,"Prior to 2025, I would have rated a +3, very positive. However, since January 2025, the political environment in the US has made it quite challenging for researchers. While I still love what I do, I feel uncertain about the future, and also how impactful my research will be in this landscape."
1051,2,"when achieve publication 2 in last 6 months"
1052,2,"I’m fortunate that research is only part of my work and I have opportunities to do clinical research at low or no costs. I think my feelings would be very different if I’m a full time researcher and if my salary depends on grants. "
1053,3,"I can do what I really love for a living, so my work is my passion and hobby."
1054,2,"I feel that my work matters and that I can contribute to society. I am honoured to work with many very dedicated persons and enjoy engaging with them - some of them as friends."
1055,1,"I love my job"
1056,1,""
1057,3,"discovery"
1058,2,""
1059,1,"too much red tape, delays, barriers, challenges with funding"
1060,1,"Overburdened with tasks"
1061,3,"Funding success"
1062,1,""
1063,3,"Interest in knowing/understanding an aspect of the world"
1064,1,"I am generally somewhat happy with my life as a researcher"
1065,1,"The red tape is overwhelming"
1066,3,"I have learned so much from the process of scientific enquiry, which helped me to understand the truth of reality."
1067,2,""
1068,-2,"too much tasks, and the intense pressure of publication, evaluation, and promotion competition has led to a sense of urgency about the immense uncertainty surrounding one's professional future."
1069,1,"It is a slow process and I don’t have enough time to do it but I still enjoy it"
1070,2,""
1071,2,"Supportive colleagues"
1072,-1,"Very stressful to investigate and do clinical at the same time"
1073,NA,""
1074,3,"My research is meaningful because I work on understanding people' experiences either related to health or research. I always aim to impact positevely how people can be better understood and supported."
1075,2,"choosing a career that interests me, that i generally enjoy doing. Finding answers to questions about life and health "
1076,1,"I believe in myself as a researcher"
1077,-2,"Lack of opportunity to do the things I want to achieve in research"
1078,2,"Researchs allows me to work ideologically, dive into topics deeply, understand processes and constructs, collaborate with others and can be rewarding. But sometimes, it also causes distress and frustration, which is why I didn't choose the highest possible rating."
1079,2,"I enjoy the work and the impact it may have on the field and on practice."
1080,3,"Have been fortunate to have many research opportunities and impacts."
1081,NA,""
1082,2,"Unique thoughts"
1083,NA,""
1084,3,"I love my work. I am currently struggling with a difficult research environment and occasionally think about other fields. But I am drawn back to really enjoying my current work and its potential to help people."
1085,3,""
1086,0,""
1087,-2,"Overworked, recurrent rejection"
1088,2,"satisfaction from results of my research"
1089,0,""
1090,3,"My contribution to society"
1091,-1,""
1092,2,"Interested in research but limited resources available for good research/ projects. So we have to do observational academic studies only. "
1093,2,"I have been conducting research along my residency programme. Luckily everything is going well until now. "
1094,0,""
1095,2,"It is very interesting and stimulating, however it can be stressful"
1096,1,"Only a small proportion of my efforts yield good results"
1097,1,"I like my work, I think it's important, but I wish that my position were more secure and not completely contingent on short term grant success"
1098,1,"I like it better than doing the same work each day all over again."
1099,2,"flexibility of my schedule allows for work-life fit. I feel so fortunate and privileged to be a ""knowledge worker"""
1100,3,"creating something that has an impact"
1101,-1,"Past experiences with harsh collaborators and an awful advisor"
1102,2,""
1103,2,"Enjoy the research aspect of my role "
1104,3,"Again I mentor a number of research students."
1105,3,"I enjoy the intellectual challenge of my work, I am grateful for the flexibility I am given to work in ways that suit me and on topics that I excite me. I am proud that my work is making a real difference in the world."
1106,1,"I feel mixed as I love designing and conducting studies, but at the same time I struggle with precarious infrastructure, administrative burdens and pressure to publish."
1107,2,"diversity of the job, excited to experience new ideas"
1108,3,"Satisfaction once my hypothesis is confirmed, constant evolution of myself "
1109,0,"Balancing postitives (interesting, very family compatible) with negatives (academic ego-inflating environment, very slow work progress, heavy processes, much work for small details)"
1110,2,"Interesting work that can make a difference"
1111,2,"learning new things all the time"
1112,3,"I enjoy the diversity of the work as well as the contact with students."
1113,2,"discovery and people I work with. minus point for admin and anti-scientific regulatory measures."
1114,2,"Independence, ability to conduct research in topics that I find worthwhile, ability to work together with intersting and enthusiastic people, having impact."
1115,2,"research for iproving the understanding of the mechanisms implicated"
1116,3,"rewarding"
1117,0,"balance between life and reaearch"
1118,2,""
1119,3,"success"
1120,2,"The impact I have had on the field generally and on my dad students specifically. "
1121,1,"interesting, respected Job with a lot of freedom but no longterm perspective"
1122,2,"it provides maximum autonomy and possibilities to learn"
1123,1,""
1124,1,"Excess of burocracy"
1125,1,"I am on the research field of my dreams but now I have a kind of burnout."
1126,1,"Lack of confidence in abilities"
1127,1,"Lack of opportunuties and guidence"
1128,0,"I too early to judge this. I have just a few papers. And now I’m working on projects aggressively but I’m yet to see results. It takes too much time and that’s draining. "
1129,2,"I love research and being curious about how things work"
1130,1,""
1131,3,"The sense of discovery "
1132,2,"I like what I do, but do not enjoy the working environment"
1133,1,"Balance of excitement of doing science and the negative environment for scientific inquiry in the US at the present time."
1134,2,"I am proud of what I have achieved and feel fulfilled "
1135,-1,"Conducting research is time consuming and is difficult to balance with the social life"
1136,1,"It is hard to point down. Actual rating goes from -2 to +3 (from very frustrating conditions in terms of contracts and life planning etc, sitting on the computer for most of the job, long work hours and high expectations, way too much time wasted with ever increasing admin work and unconstructive meetings, annoying fund raising and reviewing processes, our sick research system itself, to joy when seeing students grow, having success with a good study, doing something useful for the world and basically enjoying the activities done to do the research, e.g. work in the field or in the lab, exchange with colleagues and keep learning)"
1137,3,"Self-efficacy in my abilities and feeling like I'm just getting started, baby."
1138,-2,"Too much politics, excessive admin burden, also this career has a mental health cost with continuous rejections"
1139,2,"Training, education, interest in answering questions"
1140,1,"Pride"
1141,2,"Achievement "
1142,3,"Feel responsible and happy while doing research "
1143,0,"I enjoy the work, but it is so time consuming it overtakes other great parts of life. So, that lessens the joy of the work from positive to neutral"
1144,3,""
1145,1,"Time flexibility, prestigious position, constant acquisition of new knowledge, meeting interesting people."
1146,2,"I have a permanent position, a nice (mostly nice) team and only 10 years to go i.e. have already ""proofed"" my value"
1147,3,"I can choose what to do"
1148,-2,"I often feel ineffective and like I have much unrealized potential."
1149,2,"Autonomy and variety that the role of researcher brings"
1150,3,"The academic freedom and intellectual stimulation"
1151,2,"I like learning new things and teaching others how to find out new things"
1152,2,"I feel fortunate to have the opportunity to have this life- to train new researchers, to find things out, to work with intelligent collborators."
1153,2,"Despite the struggles, I love being a researcher. I wish there was enough institutional support "
1154,-1,"Diffucult to navigate regulation, administration, and funding"
1155,3,"Freedom to research what I want, high success with opening trials and completion of study accrual and treatment."
1156,1,"I love it, but since I can't seem to secure R01 funding, it seems to be drawing to a close. "
1157,2,"Flexibility curiosity crestivity"
1158,-1,"Lab environment "
1159,2,"Being able to do what I like most "
1160,2,""
1161,1,"Constancy "
1162,2,"Job satisfaction that helps patients"
1163,1,"community partnerships "
1164,0,"there is limit career oppurtunities at this point in life that i can avail"
1165,2,"I get to do very interesting and important things!"
1166,2,"Positive outcome to the body of knowledge"
1167,2,"I love researching"
1168,1,"I feel useful to the science, to medicine, to my residents. I keep doing research for the love of produce something ""important"" "
1169,2,""
1170,1,"It is nice to do, however is take alot of effort, presistance to succeed"
1171,NA,""
1172,1,"lack of knowledge (some training was provided during my training)"
1173,2,""
1174,2,"I have a nice societal impact"
1175,3,"I love to create new knowledge and disseminate it in our community. "
1176,2,"Freedom to explore many ideas and be, to a large degree, in charge of my own time."
1177,0,"Lack of teamwork dedicated to research"
1178,1,"The number of good things about it are slighlty more than the number of bad things"
1179,-1,"Research is part of my role that I do not get as much value from as my clinical work"
1180,-1,"Lack of career progression, overall funding insecurity, long working hours, "
1181,3,"Overall contribution to research and through research, to teaching and raising the next generation of professionals and researchers."
1182,1,"Feel isolated a lot"
1183,-1,"It's such a lonely job."
1184,0,"Balancing long hours and uncertainty with interest and passion"
1185,NA,""
1186,NA,""
1187,NA,""
1188,NA,""
1189,NA,""
1190,2,"I am truly passionate about my work as a researcher."
1191,NA,""
1192,NA,""
1193,NA,""
1194,1,"There are too many competing demands in academia (at least in Poland), which makes it hard to fully enjoy the research process (aside from the stress that comes with it)."
1195,NA,""
1196,NA,""
1197,NA,""
1198,2,"Datisfaction that I got some reasonable results"
1199,NA,""
1200,NA,""
1201,NA,""
1202,NA,""
1203,NA,""
1204,NA,""
1205,2,"It is very satisfying to find a solution to a problem or a challenge."
1206,NA,""
1207,NA,""
1208,NA,""
1209,NA,""
1210,NA,""
1211,NA,""
1212,NA,""
1213,NA,""
1214,NA,""
1215,NA,""
1216,NA,""
1217,NA,""
1218,NA,""
1219,NA,""
1220,NA,""
1221,NA,""
1222,NA,""
1223,NA,""
1224,NA,""
1225,NA,""
1226,NA,""
1227,NA,""
1228,NA,""
1229,NA,""
1230,NA,""
1231,NA,""
1232,NA,""
1233,NA,""
1234,NA,""
1235,NA,""
1236,NA,""
1237,NA,""
1238,NA,""
1239,NA,""
1240,NA,""
1241,NA,""
1242,NA,""
1243,NA,""
1244,NA,""
1245,NA,""
1246,NA,""
1247,NA,""
1248,NA,""
1249,NA,""
1250,NA,""
1251,NA,""
1252,NA,""
1253,NA,""
1254,NA,""
1255,NA,""
1256,NA,""
1257,NA,""
1258,NA,""
1259,NA,""
1260,NA,""
1261,2,"I enjoy doing research"
1262,NA,""
1263,NA,""
1264,NA,""
1265,NA,""
1266,NA,""
1267,NA,""
1268,NA,""
1269,NA,""
1270,NA,""
1271,NA,""
1272,NA,""
1273,NA,""
1274,1,"I like learning something new"
1275,NA,""
1276,NA,""
1277,NA,""
1278,NA,""
1279,NA,""
1280,NA,""
1281,NA,""
1282,NA,""
1283,NA,""
1284,NA,""
1285,NA,""
1286,NA,""
1287,NA,""
1288,2,"I am able to pursie lines of research that genuinely interest me, and I have the support of my department and college."
1289,NA,""
1290,NA,""
1291,NA,""
1292,NA,""
1293,NA,""
1294,NA,""
1295,NA,""
1296,NA,""
1297,NA,""
1298,NA,""
1299,NA,""
1300,NA,""
1301,NA,""
1302,NA,""
1303,NA,""
1304,NA,""
1305,NA,""
1306,NA,""
1307,NA,""
1308,NA,""
1309,NA,""
1310,2,"The research I’m doing and collaborations k have established "
1311,NA,""
1312,2,"Feeling good after achivements"
1313,NA,""
1314,NA,""
1315,NA,""
1316,1,"i am only an early career researcher. i am excited. there are highs and los in research. "
1317,NA,""
1318,NA,""
1319,NA,""
1320,2,"Creativity, joy of seeing complet patterns over time."
1321,NA,""
1322,NA,""
1323,NA,""
1324,NA,""
1325,NA,""
1326,NA,""
1327,NA,""
1328,NA,""
1329,NA,""
1330,NA,""
1331,NA,""
1332,NA,""
1333,NA,""
1334,NA,""
1335,NA,""
1336,NA,""
1337,NA,""
1338,NA,""
1339,2,"I love new knowledge "
1340,NA,""
1341,NA,""
1342,NA,""
1343,NA,""
1344,NA,""
1345,2,"I do what I love, I work with lovely people and I have full flexibility in my life. The only downside is the short-term contracts. "
1346,NA,""
1347,1,"I'm not satisfied with my work due to difficulties in obtaining funding and the need to resolve numerous organizational issues. Sometimes it seems like the chosen field isn't ""significant"" enough."
1348,3,""
1349,NA,""
1350,NA,""
1351,NA,""
1352,NA,""
1353,NA,""
1354,NA,""
1355,NA,""
1356,NA,""
1357,NA,""
1358,NA,""
1359,NA,""
1360,NA,""
1361,1,"beeing on the ""pulse of time"" and learning new things as a first person"
1362,NA,""
1363,NA,""
1364,NA,""
1365,NA,""
1366,NA,""
1367,0,"I experience fluctuating emotions. Sometimes, especially when I submit a research paper to a journal, I feel hopeful, but then the process takes too long, and I lose enthusiasm. Sometimes, revisions come in, I make the peer review corrections, and I think it will be accepted, and I become hopeful again. However, after the revisions, the paper is suddenly rejected. Despair overwhelms me. Over time, this feeling disappears, and I submit the paper to a new journal. The process continues in this vicious cycle."
1368,NA,""
1369,NA,""
1370,NA,""
1371,NA,""
1372,NA,""
1373,NA,""
1374,2,"Liberty of thought, of making new connections where none had existed, of finding sense."
1375,NA,""
1376,NA,""
1377,NA,""
1378,NA,""
1379,NA,""
1380,NA,""
1381,NA,""
1382,2,"Freedom, making important contributions in a long time perspective. "
1383,NA,""
1384,NA,""
1385,NA,""
1386,NA,""
1387,NA,""
1388,NA,""
1389,2,"Working in a research focused university where one's original contributions are welcomed is a huge privilege"
1390,-1,"Constant need to search funding"
1391,NA,""
1392,0,"it is difficult to fit it into a half day academic job that requires under and post graduate teaching. I can never keep up with my peers because I am employed fewer hours."
1393,NA,""
1394,-1,"too much work and not enough adminitrative support"
1395,NA,""
1396,1,"Uncertainty in terms of job security and pressures of needing to deliver projects at fast speed"
1397,NA,""
1398,NA,""
1399,NA,""
1400,NA,""
1401,NA,""
1402,2,"I need always to think a lot about something and in this respect research is perfect for this attitude of mine"
1403,-3,""
1404,NA,""
1405,NA,""
1406,NA,""
1407,NA,""
1408,NA,""
1409,NA,""
1410,NA,""
1411,NA,""
1412,NA,""
1413,NA,""
1414,NA,""
1415,NA,""
1416,3,"I feel pride in my work, and on the most part it is very interesting"
1417,NA,""
1418,NA,""
1419,NA,""
1420,NA,""
1421,1,""
1422,NA,""
1423,NA,""
1424,NA,""
1425,NA,""
1426,NA,""
1427,NA,""
1428,NA,""
1429,NA,""
1430,NA,""
1431,1,""
1432,NA,""
1433,NA,""
1434,NA,""
1435,NA,""
1436,NA,""
1437,NA,""
1438,1,"Becoming older."
1439,NA,""
1440,NA,""
1441,NA,""
1442,NA,""
1443,NA,""
1444,NA,""
1445,NA,""
1446,NA,""
1447,1,"Lack of dedicated time for reserach"
1448,NA,""
1449,1,"motivation or still believing in the opportunity to contributing to reducing social inequality through research and its impact, however, it may be smaller than I thought at te start of my career"
1450,NA,""
1451,NA,""
1452,NA,""
1453,NA,""
1454,NA,""
1455,NA,""
1456,NA,""
1457,NA,""
1458,NA,""
1459,-2,"I feel like entering research is a ponzi-scheme, where you work yourself half to death, supervise students, make projects without any job security and for poor pay. Everyday I work next to admin people that are secure in their positions, and can get mortgages and dont have to compete for their salary. The juice is not worth the squeeze.   "
1460,NA,""
1461,NA,""
1462,NA,""
1463,NA,""
1464,NA,""
1465,NA,""
1466,NA,""
