"anonym_id","research_stage","research_stage_feeling_cause"
684,"Report writing","Disappointment from rejections, in particular, at the late stages of the process."
685,"Reality check (e.g., literature search, consultation with colleagues)","Excitement about the potential to bring a new idea to fruition"
686,"Report writing","Concluding a project is very satistifying seeing all the pieces fit together into a single cohesive manuscript. "
687,"Report writing","I enjoy the work and I think it is an impactful project with a robust methodology. It is nice to see it get close to publication. "
688,"Waiting for journal's response and revisions","Proud to have finalized a manuscript and submitted it."
689,"Report writing","really interesting data"
690,"Data collection",""
691,"Preparations (IRB permit, preregistration, experiment preparations)","Actually, I was pretty calm in this process. Whereas, I was stressed out because it is never a single line to work as a researcher, I also need to deal with the review comments, the review work, the data analysis work.....So to be honest, the preparation part is the most enjoyable and calm work."
692,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Relief"
693,"Preparations (IRB permit, preregistration, experiment preparations)","Disappointed and angry at the documentation filling process and back and forth process for collection of signatures and etc"
694,"Data analysis","Transcendence "
695,"Waiting for journal's response and revisions","need to know the answer"
696,"Data collection","I am passionate about my work, like to do the background search, start to new projects and learn new technichs solve a problem. But sometimes it is hard to keep up this enthusiasm, I fear that I do something wrong during the measurements, anger when they do not go well, hate the administration and the treadmill effect to apply write plan measure and do it again. And I feel guilt against my family, because I do not have enough time with them."
697,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Pleasure "
698,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I spent part of my summer vacation working on a grant re-submission and just learned that it did not score well at the NIH. I am extremely disappointed."
699,"Waiting for journal's response and revisions","Publishing is getting harder and the article publication charges (APC)is getting harder too. Of course the funding is still a challenge. "
700,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Project was very successful with a very strong and supportive collaborative group. "
701,"Data collection","I am very interested in generating data for this project, as it consists of a set of new techniques in our lab that I am optimizing. I am experiencing high intensity disappointment because the optimization of experimental conditions is complex and taking more time than anticipated. I am experiencing high intensity anger because my collaborators are not being clear about their goals and expectations regarding this project, and keep changing the experimental conditions, which in turn is causing me to take much longer than anticipated to optimize the experimental conditions. My collaborators are also not providing feedback when specifically asked by me and then I get blamed when the experiments are not optimized to their satisfaction."
702,"Data analysis","relief we are done"
703,"Data collection","Interest.. of my family and work area
Amusement.. I like to amuse myself self after hard work in research 
Love my family 
Admiration of my kids and wife
Disappointed by the work bad environment 
Fear of tomorrow
Anger because of Bureaucracy"
704,"Report writing","Relief that it was almost finished. Anger at issues that make it take longer than it should. Proud to be almost done"
705,"Project genesis/ first thoughts/ idea creation","Afraid of not getting the project"
706,"Reality check (e.g., literature search, consultation with colleagues)","I get very excited and interested in new research, but have a harder time getting excited about ideas that I have already explored more. "
707,"Report writing","Report was overdue, hence guilt."
708,"Waiting for journal's response and revisions","Joy"
709,"Project genesis/ first thoughts/ idea creation","I feel an inner excitement because I am working on a new topic that could be effective for psychological interventions."
710,"Report writing",""
711,"Reality check (e.g., literature search, consultation with colleagues)","Relief"
712,"Project genesis/ first thoughts/ idea creation",""
713,"Report writing","The research results are supportive for our initial hypothesis."
714,"Data analysis","Mainly frustration but that's because I work full-time and it's hard to find time to work on my PhD research."
715,"Project genesis/ first thoughts/ idea creation","The satisfaction of getting new results for the very first time. "
716,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Pride was my highest score - I was 1st author on the paper and it took a lot of time to conduct and write the paper."
717,"Data analysis","I am very disappointed, firstly in myself: compared to other researchers, I don't seem to have sparked enough interest among the participants in my research. The response rates to our questionnaire are very low. In relation to another research project (both equally important in my work), I am disappointed in my colleagues because I am not receiving the support they promised me. This makes me feel very left alone."
718,"Project genesis/ first thoughts/ idea creation","N/A"
719,"Reality check (e.g., literature search, consultation with colleagues)","Checking the literature and sharing with colleagues is always very enriching and energizing for me. I get to polish my idea and also some other ideas for the future, so I have felt an increasing level of interest since I started that phase."
720,"Data analysis","Interest, which is the main reason why I undertake research."
721,"Report writing","I'm engaged in the work of synthesis of qualitative research and this process of creating a representative and clear written presentation of themes has the joy and interest that I experience in flow states in other domains as well. The joy is in effort as attention, or perhaps in the pleasure of the cognitive labor involved in the meaning-making aspects of writing."
722,"Preparations (IRB permit, preregistration, experiment preparations)","The main feeling was interest, primarily caused by the novelty of the project and the fact that it involves a sample we have not previously studied. This new context sparked a high level of curiosity and motivation."
723,"Data collection","Interest pride and relief, because I put a lot of effort into this project and it is great to see that we're getting fantastic results. Sadness, disappointment, fear and anger, because my job situation is uncertain and might lose my job within the next few months for reasons completely unrelated to my performance. "
724,"Project genesis/ first thoughts/ idea creation","Excitement over the potential of the work, but frustration with funding."
725,"Data analysis","The analysis phase I am in is monotonous and is taking longer than I would like, therefore there is disappointment that it is not going faster"
726,"Data collection","Frustration data collection is not going as well as we had hoped"
727,"Waiting for journal's response and revisions","Relief and anticipation regarding finally submitting the paper and looking forward to peer review feedback, respectively."
728,"Data collection","Joy"
729,"Revisions","I have a passion for my area of research and enjoy the work that I do. "
730,"Revisions","The graduate student, who was supposed to be responsible for writing the manuscript, showed little participation/commitment, failing to demonstrate resilience and commitment to the project."
731,"Reality check (e.g., literature search, consultation with colleagues)","Interest- the topic is interesting and I need to flesh out my thoughts more."
732,"Report writing","Interest - I try to only do research on areas I am genuinely interested in. "
733,"Data collection","The joy of developing something to really help my patient population"
734,"Revisions","As a senior academic with a substantial administrative part of my work, finding time for research, and engaging with it is very enjoyable, exciting, rewarding, and motivating."
735,"Waiting for journal's response and revisions",""
736,"Preparations (IRB permit, preregistration, experiment preparations)",""
737,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I always allow myself a little time to bask at the end of a big project that has many risks and many responsibilities to the young people I work with."
738,"Data collection","Grateful to have a steady project/employment/job"
739,"Preparations (IRB permit, preregistration, experiment preparations)",""
740,"Waiting for journal's response and revisions","We did excellent science, made interesting discoveries, and improved our understanding."
741,"Data analysis","The analyses were demanding but provide interesting findings"
742,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","After accepting the manuscript, the journal took so long to move through the administrative processes that we lost our open access finding and had to publish in the pay-per-view model (behind the paywall)."
743,"Data collection","'Interest'. I am a policy researcher. We need to develop atypical systems here in India, that are helpful to patients. I am understanding what has been done in other countries, with regard to these atypical systems, to make policy recommendations for our country."
744,"Data analysis",""
745,"Waiting for journal's response and revisions","Paper got rejected saying no novelty in the work"
746,"Data analysis","Guilt is the most intense feeling, as I feel not able to spend enough time on this important interdisciplinary project"
747,"Data analysis","compressed Need to finish the work in good way and have good paper at the end to feel contentment"
748,"Preparations (IRB permit, preregistration, experiment preparations)","I’m proud to be funded and able to do research, that someone believes in the work that I have done"
749,"Report writing","I find myself caught in a frustrating paradox: my positive emotions are fueled by deep, exhaustive analysis, yet the academic world demands rapid-fire publishing. Too often, the pressure to meet metrics and fulfill perceived expectations overshadows the pursuit of true understanding, creating a gap between the work I value and the work I am required to produce"
750,"Data analysis","anger, because there is enormous jealousy among scientists."
751,"Revisions","Editors rightfully suggested replication on alternative datasets, but these were failures. While there are many plausible reasons for this as the datasets have different influencing factors, it did make me feel disappointment, as my long term work on this project appeared worthless, regret for getting involved in the topic and being stuck with pushing a paper I don't value much, sadness as the replication crisis applies to my field in general."
752,"Preparations (IRB permit, preregistration, experiment preparations)","Institutional factors, barriers and challenge in research process."
753,"Preparations (IRB permit, preregistration, experiment preparations)","It is an interesting project and I am waiting on differing institution to approve and release the data. I think you need to add annoyance to the list of emotions and a little around concern that we are not going to meet the timelines. "
754,"Waiting for journal's response and revisions","Alegría por haber sido aceptado el artículo con revisiones y un poco de enfado porque varias de las indicaciones son erróneas y me van a llevar mucho tiempo contestarlas. "
755,"Waiting for journal's response and revisions","Reviewers take too long to write a feedback, and sometimes the paper takes more than one year to get finally accepted.
Also, they give us usually only 3 weeks to write a response, but for reviewers it's more than 3 months... this is really sad. I know that reviewers are not paied, but when I am reviewing I have empathy for the researcher and I do the review as soon as I can. We always have SOME time to spent. 
What makes me sad is that my final thesis depends on the acceptance of these papers. "
756,"Revisions","I find pleasure doing it"
757,"Revisions","Interest: it was the main focus of my work.
Pride: it was a very nice project aiming at one of the highest impact journal
Relief: when the bulk of the work was completed after submitting the revised version of the manuscript
Fear: to be rejected after all the effort, to start the whole process"
758,"Data collection",""
759,"Preparations (IRB permit, preregistration, experiment preparations)","Amusement - the field that I am researching is astonishing and I am really amazed about the complexity and inhetent properties of my research subject. "
760,"Data analysis","Interest. Because of the inherently interesting nature of analyzing data and finding answers to your research questions."
761,"Data analysis","I think that with the data I have I can answer relevant questions, highly increasing my interest in the study."
762,"Revisions","Just the time it takes to respond, wonder if it could have been avoided"
763,"Project genesis/ first thoughts/ idea creation","Developing a project and bringing together a research team was incredibly exciting but the exposure and potential for being judged was scary"
764,"Data analysis","Contempt. I am new to qualitative research and the data analysis is difficult for me since it is based on interpretation and not on 'rules'."
765,"Data collection","interest and pleasure for the work I am carrying out because it is my passion"
766,"Data collection","Interest - keen to learn more about a specific project and to contribute to a better general knowledge"
767,"Data analysis",""
768,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Multiple communications and responses."
769,"Project genesis/ first thoughts/ idea creation","I love writing up my research- I ranked interest very highly because it is fascinating to have the whole project come together at the end in a written manuscript. The challenge for me in this survey is that I actually have projects at all the different stages, but I have been writing most in the past month. I think if I had focused on the IRB section, my responses would have centered around more frustration at the slowness of the process. "
770,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Desk rejection"
771,"Project genesis/ first thoughts/ idea creation",""
772,"Waiting for journal's response and revisions","After submitting the manuscript, I felt a sense of relief and mental ease, as I no longer need to think about this paper for the time being."
773,"Data analysis","Interestt - I love my job"
774,"Project genesis/ first thoughts/ idea creation","The neglecting of scientific and project work, personal contribution from the lidership od the institution as well as mobing and influence trade."
775,"Report writing","The results were interesting and align well with theories "
776,"Report writing","Pride in a successful project completion"
777,"Preparations (IRB permit, preregistration, experiment preparations)","Inspiring colleagues also working on this project, good team work"
778,"Project genesis/ first thoughts/ idea creation","Sadness: the cause is the hopelessness of a research career. No matter how excellent someone is at their job, they can never count on stability."
779,"Data analysis","The results looks good"
780,"Data analysis","Most intense feelings = interest and relief. We're in advanced stages of analysis, and some of the findings are unexpected and therefore interesting, and I'm relieved they're holding up to different types of scrutiny/statistical checks."
781,"Data collection","excitement to get started and collect data"
782,"Reality check (e.g., literature search, consultation with colleagues)","High work-load, meaning I cannot dedicate the required time to perform the study at the level at which I would like"
783,"Report writing","the coming together of a many year effort"
784,"Data analysis","Joy - we discovered something that we thought might be true but were not sure about"
785,"Project genesis/ first thoughts/ idea creation","Do not know, I am not a reflective person"
786,"Report writing","I just enjoy writing academic texts, it gives me pleasant mental stimulation"
787,"Reality check (e.g., literature search, consultation with colleagues)","I have high interest doing  a literature research for this new idea I have. 
Is also a Pleasure for me understand and know new things on my ongoing  research. 
I just feel satisfied and no regret"
788,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I am talking about multiple desk rejections of the same paper. It is frustrating and never happened before to me. I believe the paper is good, but I find trouble to find a suitable, yet impactfull journal to submit it"
789,"",""
790,"Revisions","Relief"
791,"Preparations (IRB permit, preregistration, experiment preparations)","The project is meeting administrative milestones - so getting closer to officially openning."
792,"Preparations (IRB permit, preregistration, experiment preparations)","Relief - to have reached this stage in the process and to feel that we are progressing, but this is also associated with frustration and anxiety which are not listed as options "
793,"",""
794,"Data analysis",""
795,"Report writing","pride: I feel like my work is very valuable.
relief: The results is better than expected, it will definitely be published in in good quality journal."
796,"Project genesis/ first thoughts/ idea creation","interest as exciting to generate new ideas"
797,"Preparations (IRB permit, preregistration, experiment preparations)",""
798,"Reality check (e.g., literature search, consultation with colleagues)","literature has evolved a lot during the past year"
799,"Data collection","I am a clinician, then it is not easy to make new research project. Therefore, when you are able to see results , it is a very pleasent experience which make you feel proud and joy"
800,"Revisions",""
801,"Report writing","Pride in one of the best studies of my entire career"
802,"Preparations (IRB permit, preregistration, experiment preparations)","Pride because I got the funding to do the research. Anxiety because I now have this massive responsibility to deliver the research and yet the requirements to set it up keep piling, not working according to plan, while the time is running out. "
803,"Data collection","Pride,contentment and relief come from the fact that we met our recruitment goal and data collection and intervention as re overall going well. "
804,"Revisions","Disappointment to rejected papers and projects."
805,"Preparations (IRB permit, preregistration, experiment preparations)","Fear: I'm afraid of faliing"
806,"Preparations (IRB permit, preregistration, experiment preparations)",""
807,"Report writing","the feeling I don't know much enough about the topic unless I invest much more time in reading other literature - time that I don't have. "
808,"Report writing",""
809,"Data analysis","I pursue research that I am passionate about. "
810,"Report writing","Guilt - concern about letting down collaborators due to time pressures"
811,"Preparations (IRB permit, preregistration, experiment preparations)","I am proud because I faced tons of issues"
812,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","It's a great sense of achievement"
813,"Data analysis","Work load"
814,"Data analysis","The project has been around without starting, and now I am excited about finally starting it after my retirement of busy professor jobs."
815,"Preparations (IRB permit, preregistration, experiment preparations)","INTEREST: The study involves a population of kids with autism spectrum disorder.  I have a keen interest in pediatric research."
816,"Data analysis","Project on track again."
817,"Report writing","I started the project, took it from concept to execution, data collection, analysis and manuscripts. It was a successful project, resulting in a major change in the standard of care."
818,"Data analysis","The positive feelings are because I am contributing to lessening suffering by improving medical knowledge. The one negative feeling, guilt, is because I have not worked on the project as much as my co-workers would have liked."
819,"",""
820,"Report writing","most of the work is done and we are getting there "
821,"Project genesis/ first thoughts/ idea creation",""
822,"Data analysis",""
823,"Revisions","I felt proud to have been able to contribute to such meaningful work. The collaboration with other colleagues within the field was also something I was especially proud of. I enjoyed being able to work with a group of intelligent people towards achieving a common goal. "
824,"Preparations (IRB permit, preregistration, experiment preparations)","freedom"
825,"Preparations (IRB permit, preregistration, experiment preparations)",""
826,"Project genesis/ first thoughts/ idea creation","Fear at the thought of researching something close to my lived experiences "
827,"Waiting for journal's response and revisions",""
828,"Preparations (IRB permit, preregistration, experiment preparations)",""
829,"Report writing","It is a project that was done with a PhD student and he has developed so much, with my supervision. I felt a lot of pride in the work he's done and how far he's come. The paper has turned out beautifully."
830,"Reality check (e.g., literature search, consultation with colleagues)","Passionate about the project"
831,"Data analysis","Excitement about the results coming in. Some disapoinment, but mostly positive excitement and brain working in high intensity to fivure out what to make from these results."
832,"Data analysis","I feel disappointed because it takes me a lot of time to achieve very small progress compared to cohorts."
833,"Data collection","its just frustrating "
834,"Data analysis","interest. very challenging and exploratory research. don't know what we will find (or not)"
835,"Preparations (IRB permit, preregistration, experiment preparations)","Interest. To me the process of getting permits from ethical boards, fundiung and setting up a trial with international partners was associated with a intense focus on learning and understanding all requierments that were neccesary."
836,"Waiting for journal's response and revisions","Pride"
837,"Data analysis",""
838,"Project genesis/ first thoughts/ idea creation","I think exploring new possibilities and picture my self in a new project make me very excited with the expectation of how much I will learn and new experiences I will have, so at this stage it is always good feelings, excitement, positive surprises with the initial learning"
839,"Data analysis","Well analysis going well, results looks very inetresnig to me, quite now in the context. But of couse I have doubts abut the reviewers position, if they going to see these results same as me."
840,"Preparations (IRB permit, preregistration, experiment preparations)","this is what I always dreamed to do"
841,"Project genesis/ first thoughts/ idea creation","We have been asked to join a really interesting and innovative project, which could potentially improve the lives of a large amount of people. "
842,"Data collection","difficulty in getting responses from participants "
843,"Project genesis/ first thoughts/ idea creation","the excitement of generating new ideas "
844,"Report writing",""
845,"Data collection","working under time pressure, conducting multiple tasks at the same time, working with people with different experiences and skills"
846,"Data collection","My project deals with immigrants who are in the family justice system. Their struggles are intense and hearing about their stories evokes strong feelings of compassion"
847,"Preparations (IRB permit, preregistration, experiment preparations)",""
848,"Data collection","I have been working as a senior researcher in a project since last year. The other members of the research team were assumed to participate in data collection phase but I did not receive any helpful assistance from them. "
849,"Data collection",""
850,"Data collection","Happy and content that I was successful in obtaining the data needed to answer the research questions."
851,"Data analysis","The data analysis is exciting to perform the data analysis. It highlight the results of your work.
It significantly contribute to draw the conclusion of the study and point out the what could be the perspectives."
852,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
853,"Data collection",""
854,"Data collection","Data collection is (in my opinion) one of the most interesting stage of a research project since the technical aspects have more or less already been validated and the project reaches a stage where it yields answers to the questions that were initially defined. This is an intellectually stimulating phase where we alternate between experiments, data analysis and brainstorming, to validate or invalidate initial hypotheses, generate new hypotheses and design new experiments to address them. It is also a stage in which opposite emotions, such as pleasure, amusement and fear, can alternate as positive or negative results are collected."
855,"Data analysis",""
856,"Data analysis","love for research outcomes"
857,"Data collection","The reason we are doing the study "
858,"Data collection","The project is excellent, the technical work is within our capability, and some of the students working with me are wonderful."
859,"Data analysis","Fullfilment in my work"
860,"Project genesis/ first thoughts/ idea creation","I love the idea"
861,"Preparations (IRB permit, preregistration, experiment preparations)","Feeling like I am singled out for greater scrutiny as a URM female (USA)"
862,"Project genesis/ first thoughts/ idea creation","I guess it felt good to be done with the task, other than that it wasn’t that emotional in either direction "
863,"Waiting for journal's response and revisions",""
864,"Project genesis/ first thoughts/ idea creation","Pleasure to explore, be more creative, experimenting new"
865,"Project genesis/ first thoughts/ idea creation","passion for my work, my line of research, my career"
866,"Project genesis/ first thoughts/ idea creation","Overwhelm "
867,"Revisions",""
868,"Waiting for journal's response and revisions","Relief that the work has been submitted. That most work is done."
869,"Data analysis","We undertake qualitative interviews and people's narratives are often very vivid and so can be quite sad (work in end of life care), but it can make you upset that these people do not receive the care they deserve, or pleased they have been so well cared for. If my researcher has undertaken the interviews it can make be proud and happy to see her skills when I read the transcripts."
870,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Anger: not justified rejection in target paper
Pride: that the project, that is my baby, was finally published"
871,"Data collection","Personally, I believe I did not have an effective supervisor. I genuinely tried my best every single day, asked many questions, and searched extensively for ways to improve my work. However, due to a few minor mistakes, my supervisor ignored all my efforts and placed the blame entirely on me. I felt ashamed at the time and apologized, but he stopped responding to me. This was the worst experience I had during my research years. After discussing this with fellow researchers, they confirmed that his behavior was inappropriate, as such mistakes are completely normal and perfection is unrealistic. I strongly believe that working with mentally healthy individuals is essential."
872,"Waiting for journal's response and revisions","Pride and relief because the paper got immediately rejected from our first choice journal but then went into peer review in our second choice journal, which has a higher impact factor "
873,"Data collection","Admiration- a large part of the data collection is being done by another leader of the program as a mentoring project with some students. They are doing an excellent job."
874,"Preparations (IRB permit, preregistration, experiment preparations)",""
875,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","The manuscript was not rejected completely but not accepted in current version and had to review and reviewers' comments were pretty intense and not necessarily that useful but still taking a lot of time from me, that I don't have"
876,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
877,"Report writing","we hope that our studies will help move the field forward."
878,"Report writing",""
879,"Data analysis","I am proud of the work my lab does. Also, I appreciate, respect, and trust every member of my lab --> I take immense pride in what we do."
880,"Report writing",""
881,"Project genesis/ first thoughts/ idea creation","disballance between expectation and suport of academic environment"
882,"Report writing","Not a lot of intense feelings- the process is slow and methodical, and I usually keep a cool head."
883,"Report writing",""
884,"Data analysis",""
885,"Data collection","Uncertainty, lack of funds"
886,"Report writing","frustration with delays in trying to complete the manuscript"
887,"Data collection",""
888,"Waiting for journal's response and revisions",""
889,"Reality check (e.g., literature search, consultation with colleagues)","I usually enjoy the research process, but the obligation and time to perform may be harsh"
890,"Data analysis",""
891,"Project genesis/ first thoughts/ idea creation",""
892,"Data analysis",""
893,"Report writing","I remained interested in my project topic, and was relieved once the entire manuscript was written. "
894,"Preparations (IRB permit, preregistration, experiment preparations)",""
895,"Report writing","Interest and pride. I feel it is a good work."
896,"Data collection","I enjoy research, but its still work"
897,"Report writing","All the work that is done within a project is constantly dismissed by tuthors, universities or journals. All the effort that you put into a project for your PhD or some degree is never compensated by a good job, salary or some kind of financial security. "
898,"Revisions","Disappointment: receiving detailed peer review feedback that requires significant time to address, despite the overall positive tone."
899,"Data analysis","The data analysis phase is when you see the data you gathered and make meaning of it. These 'answers' are why you did the research in the first place."
900,"Report writing","interest and pleasure were due to an exciting project and my personality"
901,"Report writing","Pride at seeing work come together successfully"
902,"Reality check (e.g., literature search, consultation with colleagues)","I had plenty of interest in the project because I felt it had big potential"
903,"Data analysis","I have been feeling very guilty for not completing the analysis sooner, because my collaborators have been waiting for the results. And because the research funding situation is so uncertain, I also feel guilty because I am lucky to have a job but I am not being productive enough"
904,"Project genesis/ first thoughts/ idea creation","the project ideas are generating and I feel excited and motivated at this early stage. Also a little fearful of the work ahead"
905,"Report writing","Admiration and pride: advancing medicine and helping humanity, rewarding for the hardwork"
906,"Report writing","Interest in the most intense feeling I indicated above. The main cause of this feeling for me is going deeper into the data, noticing some patterns, finding it interesting, reading literature and finding interesting links with your data. 
This wasn't in the list of feelings but it also brings satisfaction when you are able to write a decent paper and to have a good ""final product"" that marks the end of a long research project."
907,"Report writing","While I had high interest in the subject and got pleasure in working on it, I was disappointed that it fell short of what I had originally conceptualized for the project."
908,"Project genesis/ first thoughts/ idea creation","part of the job, minimum feelings are involved "
909,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Joy was the most intense. I felt Flow during the writing. I was grateful for the co-authors contribuations and for their best efforts and deepest thoughts for the writing. I was excited to find and present, and especially explain our results."
910,"Revisions","I quite enjoy the job that I do."
911,"Waiting for journal's response and revisions","Dissatisfaction that the work is not as good as it could be / was envisioned."
912,"Preparations (IRB permit, preregistration, experiment preparations)","Interest in the scientific question I was planning to address."
913,"Revisions","The review process is bogus. Supposedly, ""good"" journals don't produce better research, and we all handicap ourselves striving to make our research fit those journals rather than sharing our research more openly in other outlets. It is a bad system, and I've watched all the best researchers I know move to industry jobs or leave acadamia becuase of it. "
914,"Waiting for journal's response and revisions","Feeling of not being completely understood"
915,"Data analysis","Pride: It's my main project, 5 years working on it."
916,"Report writing","Because this is research I have always really wanted to do."
917,"Project genesis/ first thoughts/ idea creation","I was writing a research proposal with a group of researchers, which is very interesting, but can also be frustrating"
918,"Waiting for journal's response and revisions","Regret. In the world of research, it is easy for wrong decisions to lead you down an inevitable path of years of confusion and regret."
919,"Project genesis/ first thoughts/ idea creation","people i work with. Boss, etc"
920,"Data analysis","it's ok"
921,"Preparations (IRB permit, preregistration, experiment preparations)","Lack of support. Assigned staff inexperienced in their roles yet they are the gatekeepers eg ethics committees, contracts.  "
922,"Project genesis/ first thoughts/ idea creation","The interest in the topic and the excitement of being involved in the attempt to resolve the research question"
923,"Report writing",""
924,"Project genesis/ first thoughts/ idea creation","to create a project focused on your research interests is challenging and exciting"
925,"Project genesis/ first thoughts/ idea creation","interest"
926,"Preparations (IRB permit, preregistration, experiment preparations)","Start of the project is exciting, working with new people brings new ideas and gratitude/admiration for their contributions. Some frustrations with admin barriers, but more the feeling of being excited for the potential of the new project"
927,"Report writing","Just enjoyed crafting a good paper with robust results"
928,"Project genesis/ first thoughts/ idea creation","INTEREST to investigate new things"
929,"Report writing","Very interested in the subject as I have personal experience of it and how much potential and real harm it causes - also because it is extremely under-researched so I felt what I was doing was particularly important - and has proved to be  "
930,"Report writing","Amazing insights on the theoretical meaning of my scientific efforts"
931,"Project genesis/ first thoughts/ idea creation",""
932,"Report writing","feeling of satisfaction completing a research project and producing outputs for publication"
933,"Report writing","I am happy when I write. In this case specifically we also did a really good job with data collection and analysis. The study is methodologically strong and all of the above make the writing experience pleasurable. "
934,"Data analysis",""
935,"Data analysis","Disappointed that the data analysis revealed no interesting findings, meaning I felt I had wasted significant time and energy on this project."
936,"Data analysis","Stress over funding "
937,"Report writing","Preparing reports is of course relevant, but very boring"
938,"Project genesis/ first thoughts/ idea creation","Because some of the hypotheses I considered while working with patients in the clinic proved to be correct and the findings made a significant contribution to the literature."
939,"Data collection","The project is not progressing as expected."
940,"Reality check (e.g., literature search, consultation with colleagues)",""
941,"Data analysis",""
942,"Data analysis","Interest is a strong and continuous feeling for me, when I am puzzled by a new result or read/hear an information that opens new intellectual perspective"
943,"Preparations (IRB permit, preregistration, experiment preparations)","Compassion the research focusses on homeless families "
944,"Waiting for journal's response and revisions","N/A, dead inside, don’t feel anything anymore"
945,"Data analysis","Interest, curiosity - I want to understand how the world works in this small area, which I study,"
946,"Preparations (IRB permit, preregistration, experiment preparations)","Excitement about the project and annoyance about practical hurdles"
947,"Waiting for journal's response and revisions","I'm looking forward to having my paper accepted, yet worried about it being rejected.
分享"
948,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Joy at completing a study that provides the highest level evidence for a topic that has been thought to be critical but unproven until now"
949,"Report writing",""
950,"Data collection","It’s very upsetting g that due to IRB requirements we are not collecting much data. I’m very disappointed and ci versed since quantity is low, we may not have enough power to demonstrate any statistical significance "
951,"Preparations (IRB permit, preregistration, experiment preparations)","Doubt because theproject is still in its initial phase "
952,"Reality check (e.g., literature search, consultation with colleagues)","interest and excitement about the project topic, realising to find a research gap, curiosity about next steps"
953,"Preparations (IRB permit, preregistration, experiment preparations)","The research should not be rejected by the peer reviewers.....that is the most intense feeling"
954,"Revisions",""
955,"Revisions","Genuine interest in the revision studies"
956,"Data analysis","I do feel some pride in the project. But equally I hate it - I hate working on it and wish that I'd never signed up to be a part of it. "
957,"Report writing","Learning new things while writing an article - discovery."
958,"Preparations (IRB permit, preregistration, experiment preparations)","receiving funding"
959,"Waiting for journal's response and revisions","I believe that my most intense feeling is positive emotion, and I suspect that it mainly comes from the strong support of my work group, as well as from making good progress with writing the study and moving forward in the process of submitting the paper to the journal. Feeling supported and seeing clear progress in the work and submission process contributes greatly to these positive feelings."
960,"Waiting for journal's response and revisions","I'm really afraid my manuscript will be rejected."
961,"Data collection","discover new patterns in the data"
962,"Preparations (IRB permit, preregistration, experiment preparations)","I'm very interested in this project, my own research idea and approach."
963,"Report writing","Relief: happy that the project is over, as at times it seemed like it would never be finished.
Fear: tied to imposter syndrome and being worried that other scientists will not see the merit of the work."
964,"Data analysis","I love to work with data - to see if there are patterns or not"
965,"Data collection","Love of science "
966,"Report writing","My most intense feelings of pride and contentment were related to my efforts at making contributions and a difference from my work. My feelings of admiration were from working on a team in which I admire my collaborators. "
967,"Project genesis/ first thoughts/ idea creation","Discovering a previously undescribed finding is a highly interesting point in a research project."
968,"Reality check (e.g., literature search, consultation with colleagues)","interest: when searching litterature ona  subject you plan a study on, you often discover lots of new information  that enlights the topic in an interesting way"
969,"Preparations (IRB permit, preregistration, experiment preparations)",""
970,"Data collection","Préoccupations "
971,"Revisions","I experienced fear because I want to finish the revisions of this paper but I cannot find much motivation to do so. It is part of my PhD-thesis, which I have already submitted and has been approved, and I work on the paper in my own time. I fear I will not meet the deadline, and I already asked for more time because a bad cold and a job interview took up some of my time earlier. "
972,"Report writing","I am passionate about writing results "
973,"Project genesis/ first thoughts/ idea creation","biased grant process not based on science as much as who you know"
974,"Revisions","Editors suggest submitting the article to other journals, but it is clear that this is merely an automatic recommendation."
975,"Waiting for journal's response and revisions","Fear: While there is relief in having completed a major task, like submitting a manuscript for review, waiting for a response, and contemplating on what that response might be is stressful which contains elements of fear. Thinking about it now has my heart racing. "
976,"Data collection","interest- i am doing this reeseach project primarily because i am extremely interested in the topic and would like to investigate it further"
